title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
Mary Zulette Waterhouse and Her Nursemaid,https://marble.nd.edu/item/2010.015,Jesse Harrison Whitehurst American ca 1819 1875 Formerly attributed to Unknown American Artist,1851,Photographs,,"Daguerreotype with applied color, sixth plate",3 1/8 x 2 5/8 in. (8 x 6.7 cm),"Humana Foundation Endowment in honor of the retirement of the Milly and Fritz Kaeser Curator of Photography, Stephen R. Moriarty",Public domain,1851,,
Portrait of Léon Charly,https://marble.nd.edu/item/2011.010,Thodule Ribot French 1823 1891,1880,Paintings,,Oil on canvas,29 x 23 1/2 in. (73.66 x 59.69 cm),"Mr. Charles K. Driscoll, ND ‘63 Fund, Noah L. Butkin Fund, and Museum Projects Fund",Public domain,1880,,
"Mirror View of Washington Column, Yosemite",https://marble.nd.edu/item/2011.017.001,Carleton E Watkins American 1829 1916,1872,Photographs,"Yosemite National Park, North America, United States, Mariposa, California",Albumen print from wet collodion negative,12 1/8 x 8 1/8 in. (30.7 x 20.5 cm),Humana Foundation Endowment,Public domain,1872,North America,United States
Untitled # 8,https://marble.nd.edu/item/2011.020.001,Gen Aihara Japanese b 1972,2010,Photographs,,Gelatin silver print,19 1/2 x 19 1/2 in. (49.5 x 49.5 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,2010,,
Triumph of the Virgin,https://marble.nd.edu/item/2011.026,Jacques Callot French 1592 1635,1623,Prints,,Etching and engraving on laid paper,22 1/8 x 14 1/2 in. (56.2 x 36.83 cm),Fritz and Mildred Kaeser Endowment for Liturgical Art,Public domain,1623,,
Title Page from The Apocalypse (recto),https://marble.nd.edu/item/2013.013.001.a,Albrecht Drer German 1471 1528,1511,Prints,"Europe, Germany",Woodcut on cream laid paper,in. (cm),"Bequest of Dr. Paul J. Vignos Jr., ND ’41 and Edith Ingalls Vignos Fund",Public domain,1511,Europe,Germany
Little Seed,https://marble.nd.edu/item/2012.028,Peter RandallPage British b 1954,2007,Sculpture,,Granite,25 1/4 x 50 3/4 x 33 in. (64.14 x 128.91 x 83.82 cm),Miss May E. Walter Fund,Public domain,2007,,
Man Seen in Three-Quarters Turned to the Right [Lower Section],https://marble.nd.edu/item/2011.027.002,Jacques Fabien GautierDagoty French 1710 1781,1759,Prints,Europe,"Etching, engraving and mezzotint in four colors on cream, laid paper",23 3/4 x 18 3/8 in. (60.33 x 46.67 cm),"Bequest of Dr. Paul J. Vignos Jr., ND ’41 and Edith Ingalls Vignos Fund",Public domain,1759,Europe,
Untitled (Migrant Farm Workers),https://marble.nd.edu/item/2011.045.023,Alan Pogue American 1946,ca. 1985,Photographs,,Gelatin silver print,8 x 10 in. (20.32 x 25.4 cm),Gift of Gilberto Cárdenas,Public domain,1985,,
La Guadalupe,https://marble.nd.edu/item/2012.005.001,Scherezade Garca Dominican b 1966,2011,Prints,,Screen print,22 x 14 in. (55.88 x 35.56 cm),Gift of Gilberto Cárdenas,Public domain,2011,,
One of a Pair of Écuelles,https://marble.nd.edu/item/2012.045.002,Chelsea Porcelain Manufactory British active 1745 1784 Henri Joseph Duvivier French active 1765 1771,ca. 1760-1762,Decorative Arts,,Soft-paste porcelain,5 1/4 x 7 x 7 in. (13.34 x 17.78 x 17.78 cm),Raclin Murphy Museum: 109B,Public domain,1760,,
Alexander and Hephestion,https://marble.nd.edu/item/2013.039.007,JeanAugusteDominique Ingres French 1780 1867,ca. 1811,Drawings,,Graphite on wove paper,5 1/4 x 5 3/4 in. (13.34 x 14.61 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1811,,
Portrait of Jeanne Gobillard,https://marble.nd.edu/item/2013.035,Berthe Morisot French 1841 1895,ca. 1887,Drawings,,Colored pencils on paper,12 1/4 x 9 3/8 in. (31.12 x 23.81 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1887,,
"Omaha Dance by Sioux Indians, Rosebud Agency, 1888",https://marble.nd.edu/item/2014.001.002,John Alvin Anderson American 1869 1948,1881,Photographs,,Albumen print mounted as boudoir card,4 7/8 x 19 3/4 in. (12.4 x 50.29 cm),Mr. and Mrs. Raymond T. Duncan Endowment for American Art,Public domain,1881,,
Still Life: Fruit on a Plate with Knife and Napkin,https://marble.nd.edu/item/2013.044.019,George Rickey American 1907 2002,1974,Drawings,"East Chatham, North America, United States, Columbia, New York",Charcoal on wove paper,11 x 8 1/2 in. (27.94 x 21.59 cm),Gift of the George Rickey Foundation,Public domain,1974,North America,United States
"""The Loop"" Near Georgetown, Colorado",https://marble.nd.edu/item/2014.001.054,William Henry Jackson American 1843 1942,ca. 1885,Photographs,"Georgetown Loop, North America, United States, Clear Creek, Colorado",Albumen print from wet collodion negative,17 1/8 x 17 3/8 in. (43.5 x 44.1 cm),Mr. and Mrs. Raymond T. Duncan Endowment for American Art,Public domain,1885,North America,United States
"Hilda Struss, Nova Scotia",https://marble.nd.edu/item/2014.020,Karl Struss American 1886 1981,1911,Photographs,"North America, Canada, Nova Scotia",Platinum print,4 1/2 x 3 5/8 in. (11.4 x 9.3 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1911,North America,Canada
Cow Pony,https://marble.nd.edu/item/2014.001.064,Charles Durbin Kirkland American 1851 1926,ca. 1885,Photographs,"North America, United States","Gelatin printing-out print, mounted as boudoir card",4 3/4 x 7 3/4 in. (12.1 x 19.8 cm),Mr. and Mrs. Raymond T. Duncan Endowment for American Art,Public domain,1885,North America,United States
Martyrdom of Saint Sebastien,https://marble.nd.edu/item/2014.060.002,Jacques Callot French 1592 1635,1631,Prints,,Etching on laid paper,6 1/2 x 13 in. (16.51 x 33.02 cm),Gift of Dr. and Mrs. R. Stephen Lehman,Copyright,1631,,
Red Throne,https://marble.nd.edu/item/2014.033,David Nash British b 1945,1991; cast 2012,Sculpture,"Europe, Germany",Bronze,136 x 34 x 16 in. (345.44 x 86.36 x 40.64 cm),Miss May E. Walter Fund,Copyright,1991,Europe,Germany
Divine Justice,https://marble.nd.edu/item/2014.052.007,James Barry Irish 1741 1806,ca. 1802,Prints,"Europe, Ireland",Etching and engraving in black ink on wove paper,31 1/8 x 21 5/8 in. (79.06 x 54.93 cm),Gift of William and Nancy Pressly in honor of the Stent Family,Public domain,1802,Europe,Ireland
A View of a Park (possibly Arcueil),https://marble.nd.edu/item/2014.061.188,JeanBaptiste Oudry French 1686 1755,ca. 1745,Drawings,"Europe, France",Black chalk and stumping heightened with white on blue-gray laid paper,9 1/4 x 13 3/4 in. (23.5 x 34.93 cm),"Bequest of John D. Reilly, ND '63, '64",Copyright,1745,Europe,France
Young Girl of Amalfi [La jeune fille d'Amalfi],https://marble.nd.edu/item/2014.061.146,Edmond AmanJean French 1858 1936,1895,Drawings,Europe,Pastel on paper,29 1/4 x 21 1/2 in. (74.14 x 54.61 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1895,Europe,
Bacchus and Ariadne,https://marble.nd.edu/item/2014.061.116,Antoine Coypel French ca 1661 1722,ca. 1693,Drawings,,"Black, red, and white chalk on gray laid paper, laid down on card",10 5/8 x 14 3/4 in. (26.99 x 37.31 cm),"Bequest of John D. Reilly, ND '63, '64",Copyright,1693,,
Jason and the Argonauts Directed by Minerva,https://marble.nd.edu/item/2014.061.256,Giulio Parigi Italian 1571 1635,ca. 1608,Drawings,Europe,Pen and brown ink over black chalk on paper,5 1/4 x 7 1/2 in. (13.34 x 19.05 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1608,Europe,
A Sheet of Studies: A Winged Demon Wrestling Two Snakes and Two Foreshortened Studies of Figures (recto),https://marble.nd.edu/item/2014.061.233.a,Thodore Gricault French 1791 1824,ca. 1816-1817,Drawings,"Europe, France",Black and red chalk and graphite on oatmeal wove paper,7 1/2 x 9 3/4 in. (19.05 x 24.77 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1816,Europe,France
Eragny,https://marble.nd.edu/item/2014.061.232,Camille Pissarro French 1831 1903,1890,Drawings,,Watercolor on paper,6 3/4 x 4 3/4 in. (17.15 x 12.07 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1890,,
Juno on Her Chariot Drawn by Peacocks Sending Iris to the Kingdom of Sleep,https://marble.nd.edu/item/2014.061.153,Eustache Le Sueur French 1616 1655,ca. 1655,Drawings,,"Black and red chalk with gray wash on laid paper, squared in red chalk, laid down",7 1/2 x 10 in. (19.05 x 25.4 cm),"Bequest of John D. Reilly, ND '63, '64",Copyright,1655,,
Study of a Male in Profile with One Arm Raised,https://marble.nd.edu/item/2014.061.179,Alexandre Cabanel French 1823 1889,19th century,Drawings,Europe,Black chalk on brown paper,18 7/8 x 12 3/4 in. (47.94 x 32.39 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1850,Europe,
"A Capriccio with the Column of Trajan, Rome",https://marble.nd.edu/item/2014.061.168,Hubert Robert French 1733 1808,1733-1808,Drawings,,Red chalk on laid paper,17 3/4 x 13 1/4 in. (45.09 x 33.66 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1770,,
Polyphemus and Galatea,https://marble.nd.edu/item/2014.061.119,Franois Perrier French 1594 1649,ca. 1640-1645,Drawings,,Pen and brown ink and wash over black chalk on laid paper,8 5/8 x 10 5/8 in. (21.92 x 27 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1640,,
The Temptation of Adam,https://marble.nd.edu/item/2015.001.002,James Barry Irish 1741 1806,1776/ca. 1790,Prints,,Etching with engraving in black ink on laid paper,33 1/2 x 27 3/4 x 1 1/2 in. (85.09 x 70.49 x 3.81 cm),Terry and Margaret Stent Fund,Public domain,1776,,
Studies of Heads after the Laocoön,https://marble.nd.edu/item/2014.061.258,Ambrogio Giovanni Figino Italian 1548 1608,ca. 1577,Drawings,,Black chalk on blue paper,9 1/8 x 7 1/4 in. (23.18 x 18.42 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1577,,
"Ticket of Admission for Horace's ""Carmen Seculare""",https://marble.nd.edu/item/2015.001.006,James Barry Irish 1741 1806,1779,Prints,,Etching in black on laid paper,7 3/4 x 6 in. (19.69 x 15.24 cm),Terry and Margaret Stent Fund,Public domain,1779,,
Staghounds,https://marble.nd.edu/item/2015.010.002,Olympe Aguado French 1827 1894,about 1855,Photographs,,Salt print from paper negative,5 1/4 x 6 5/8 in. (13.2 x 16.8 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1855,,
Still Life,https://marble.nd.edu/item/2015.010.001,Heinrich Khn German active in Austria 1866 1944,1896,Photographs,"Europe, Austria",Bromoil transfer print on cream laid paper,11 3/4 x 9 1/4 in. (29.7 x 23.6 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1896,Europe,Austria
"Oil Pipeline, North Dakota",https://marble.nd.edu/item/2015.053.008,Terry Evans American 1944,2015,Prints,,Lithograph on paper and mylar,21 x 20 1/2 in. (53.34 x 52.07 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Public domain,2015,,
Orpheus Instructing the Savage People in the Art of Social Life,https://marble.nd.edu/item/2015.001.013,James Barry Irish 1741 1806,1792,Prints,"Europe, Ireland",Etching and engraving in black ink on laid paper,16 3/8 x 19 7/8 in. (41.59 x 50.48 cm),Terry and Margaret Stent Fund,Public domain,1792,Europe,Ireland
Garrick in the Character of Richard III,https://marble.nd.edu/item/2016.010,William Hogarth British 1697 1764,1746,Prints,"Europe, United Kingdom",Etching and engraving on laid paper,16 1/2 x 20 5/8 in. (41.75 x 52.39 cm),"Mr. and Mrs. Charles K. Driscoll, ND ’63 Fund",Public domain,1746,Europe,United Kingdom
Angels Carrying a Banner (recto); An Angel (verso),https://marble.nd.edu/item/2014.061.337,Jean Restout the Younger French 1692 1768,1707-1768,Drawings,,Black and white chalk on blue paper,10 1/4 x 14 in. (26.04 x 35.56 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1737,,
Victorine Meurent in the Costume of an Espada,https://marble.nd.edu/item/2016.021.001,Edouard Manet French 1832 1883,1862,Prints,"Europe, France",Etching on medium-weight cream laid paper,16 3/8 x 14 in. (41.59 x 35.56 cm),"Bequest of Dr. Paul J. Vignos Jr., ND ’41 and Edith Ingalls Vignos and Art Purchases Funds",Public domain,1862,Europe,France
Thomas H. 98.6,https://marble.nd.edu/item/2016.028.004,Richard Gray American b 1954,2016,Prints,,Photogravure and relief print,21 7/8 x 20 7/8 in. (55.56 x 53.02 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Public domain,2016,,
"Buchenwald Prisoners, Germany",https://marble.nd.edu/item/2016.007.003,Margaret Bourke White American 1904 1971,1945,Photographs,"Europe, Germany, Buchenwald, Thuringia",Gelatin silver print,17 x 33 3/4 in. (43.2 x 85.6 cm),Humana Foundation Endowment,Public domain,1945,Europe,Germany
A Blacksmith [Un Forgeron],https://marble.nd.edu/item/2016.020.002,Eugne Delacroix French 1798 1863,1833,Prints,Europe,Aquatint on cream wove paper,9 x 6 3/8 in. (22.86 x 16.19 cm),"Dr. Paul J. Vignos Jr., ND ’41 and Edith Ingalls Vignos Fund",Public domain,1833,Europe,
"Earthquake Refugees, Zante, Greece",https://marble.nd.edu/item/2017.015.003,David Chim Seymour American b Poland 1911 1956,1953,Photographs,"Zákinthos, Nísos, Europe, Greece, Zákinthos, Ionian Islands",Gelatin silver print,9 7/8 x 8 in. (25 x 20.3 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1953,Europe,Greece
Palestinian Family Barred from Home by the Green Line,https://marble.nd.edu/item/2016.014,Unknown Palestinian artist active Twentieth century,1949,Photographs,"Asia, State of Palestine",Digital pigment print from film negative,12 3/4 x 12 5/8 in. (32.4 x 32.2 cm),Gift of United Nations Relief and Works Agency for Palestine Refugees (UNRWA),Public domain,1949,Asia,
"Camp Bates, 3D N.Y. Vol. Cavalry",https://marble.nd.edu/item/2017.020.004,Voltaire Combe American 1837 1916,1861-1862,Prints,"North America, United States",Hand-colored lithograph on paper,18 x 24 in. (45.72 x 60.96 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1861,North America,United States
White/Red Glass Bead Strand (in Box with Other Beads and Necklaces),https://marble.nd.edu/item/2017.025.262.007,Unrecorded Native North American artist,,Jewelry,North America,Glass and shell beads,36 in. (91.44 cm),Bequest of Owen D. Mort Jr,Copyright,,North America,
Le Port de Camaret,https://marble.nd.edu/item/2016.027.002,Eugne Boudin French 1824 1898,1872,Paintings,"Europe, France",Oil on canvas,19 7/8 x 30 1/4 in. (50.48 x 76.84 cm),"Gift of José Fernández-Richards, Juan C. Fernández-Richards, and Miguel Fernández-Richards%20",Public domain,1872,Europe,France
Mbangu Sickness Mask,https://marble.nd.edu/item/2017.025.963,Unrecorded Pende artist,mid-20th century,Apparel and Adornments,"Africa, Democratic Republic of the Congo","Wood, plant fiber, paint, clay pigment",11 3/4 x 7 3/8 x 4 1/4 in. (29.85 x 18.58 x 10.8 cm),Bequest of Owen D. Mort Jr,Public domain,1950,Africa,Congo
Mask,https://marble.nd.edu/item/2016.049.008,Unrecorded GuereWe artist Formerly attributed to Unidentified We artist,mid-20th century,Apparel and Adornments,"Africa, Côte d&#39;Ivoire","Wood, pigment, white clay, red clay, leopard claws, cowrie shells, bone, wild animal fur, cotton rope, indigo dyed cotton cloth,1923 CFA (African Frances) 25 centimes coins, metal tacks, nails, plant fiber, twigs, metal staples, ritual surface substances",17 3/4 x 15 x 11 1/2 in. (45.09 x 38.1 x 29.21 cm),Gift of David Christensen,Public domain,1950,Africa,
Shell and Glass Bead Strand (in Box with Other Beads and Necklaces),https://marble.nd.edu/item/2017.025.262.004,Unrecorded Native North American artist,,Jewelry,North America,Glass and shell beads,51 in. (129.54 cm),Bequest of Owen D. Mort Jr,Public domain,,North America,
Summer Day,https://marble.nd.edu/item/2017.052.004,Maurice Canning Wilks Irish 1910 1984,20th century,Paintings,,Oil on board,17 1/2 x 21 1/2 in. (44.45 x 54.61 cm),Gift of the Donald and Marilyn Keough Foundation,Public domain,1950,,
Spiro Mound Shell Beads and Native American Garter,https://marble.nd.edu/item/2017.025.261,Unrecorded Native North American artist,,Apparel and Adornments,North America,Shell,in. (cm),Bequest of Owen D. Mort Jr,Public domain,,North America,
Deangle Female Mask,https://marble.nd.edu/item/2017.025.825,Unrecorded Dan artist aka Mande,early 20th century,Apparel and Adornments,Africa,"Wood, plant fiber",13 3/4 x 7 1/4 x 2 1/2 in. (34.93 x 18.42 x 6.35 cm),Bequest of Owen D. Mort Jr,Public domain,2022,Africa,
Life of Christ/Cycle of Life,https://marble.nd.edu/item/2018.039,Philip Julian Leighton Rickey American b 1959,2017,Sculpture,,Colmnar basalt columns placed along a 420 ft pathway,in. (cm),Anonymous Fund and the Humana Foundation Endowment in memory of Mary Ellen Sullivan-Rickey,Public domain,2017,,
The Next Generation,https://marble.nd.edu/item/2017.049.030,Margaret Garcia American b 1951,2000,Prints,,Screen print,30 x 37 1/2 in. (76.2 x 95.25 cm),Gift of Gilberto Cárdenas,Public domain,2000,,
Memorial Figure,https://marble.nd.edu/item/2017.025.995,Unrecorded Kongo artist,19th to 20th century,Figurines,"Africa, Democratic Republic of the Congo or Angola",Stone,13 3/8 x 7 7/8 x 4 5/8 in. (33.97 x 19.96 x 11.75 cm),Bequest of Owen D. Mort Jr,Public domain,1950,Africa,Angola
Berlin 2,https://marble.nd.edu/item/2019.016.099,Jim Dine American b 1935,2013,Prints,,"Lithograph on Zerkal Alt Mainz, White",55 3/8 x 39 1/8 in. (140.65 x 99.38 cm),Gift of Jim Dine in honor of Joseph Becherer,Public domain,2013,,
Laocoön and His Sons,https://marble.nd.edu/item/2019.007,Italian,1600-1800,Sculpture,"Europe, Italy",Marble,68 x 54 1/2 x 27 1/4 in. (172.72 x 138.43 x 69.22 cm),"Gift of Michael, ND '69 and Susie McLoughlin",Public domain,1700,Europe,Italy
The Brown Coat,https://marble.nd.edu/item/2019.016.106,Jim Dine American b 1935,1977,Prints,,"Etching, soft ground etching, aquatint, dry point, and electric tools",41 7/8 x 29 1/2 in. (106.36 x 74.93 cm),Gift of Jim Dine in honor of Joseph Becherer,Public domain,1977,,
Fort Sumter,https://marble.nd.edu/item/2018.047.030.004,Julius Bien German 1829 1909,1861,Prints,North America,Lithograph on wove paper,in. (cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1861,North America,
Scorch Spirit Nation,https://marble.nd.edu/item/2018.054.002,Willie Cole American b 1955,2018,Prints,,"Aquatint in sepia and black on 250 gm, white Arches Cover paper",30 x 22 1/4 in. (76.2 x 56.52 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Public domain,2018,,
Body of Black-Ground Coffee Pot,https://marble.nd.edu/item/2019.009.a,Real Fabbrica Ferdinandea Italian active 1773 1806,ca. 1795,Decorative Arts,"Naples, Europe, Italy, Napoli, Campania",Soft-paste porcelain,7 1/2 x 7 x 4 3/4 in. (19.05 x 17.78 x 12.07 cm),Viriginia A. Marten Endowment for Decorative Arts,Public domain,1795,Europe,Italy
